# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	246	154	259	181	0
11111	186	154	199	181	0

#WALKING RIGHT
11222	275	154	290	181	0
11223	304	154	321	181	0

#WALKING LEFT
11212	155	154	170	181	0
11213	125	154	140	181	0

#RUNNING RIGHT
11321	334	154	355	181	0
11322	334	154	355	181	0
11323	392	154	413	181	0

#RUNNING LEFT
11311	91	154	112	181	0
11312	65	154	86	181	0
11313	34	154	55	181	0

#JUMP WALK RIGHT
11417	395	275	412	302	0
11413	35	275	52	302	0

#JUMP RUN RIGHT & LEFT
11427	394	195	413	222	0
11423	35	195	52	222	0

#SIT RIGHT & LEFT 
11521	426	239	441	256	0
11511	5	239	20	256	0

#BRACE RIGHT & LEFT 
11621	425	154	442	181	0
11611	5	154	22	181	0

#DIE
13001	215	120	234	137	0

############ SMALL ################
 #IDLE
12121	247	0	260	15	0
12111	187	0	200	15	0

#WALK RIGHT
12222	275	0	292	15	0
12223	306	0	321	15	0

#WALK LEFT
12212	155	0	170	15	0
12213	125	0	140	15	0

#RUN RIGHT
12321	275	0	290	15	0
12322	306	0	321	15	0
12323	335	0	350	15	0

#RUN LEFT
12311	155	0	170	15	0
12312	125	0	140	15	0
12313	95	0	110	15	0

#BRACE RIGHT & LEFT
12511	6	0	19	15	0
12521	426	0	439	15	0

#JUMP WALK RIGHT & LEFT 
12413	35	80	50	95	0
12417	395	80	410	95	0

#JUMP RUN RIGHT & LEFT 
12423	65	40	80	55	0
12427	365	40	380	55	0

# FLY
# IDLE
# LEFT
14112	182	634	202	661	0
# RIGHT
14122	243	634	263	661	0

# WALK
# LEFT
14212	152	633	174	664	0
14213	122	633	143	664	0

# RIGHT
14222	272	633	293	664	0
14223	303	633	324	664	0

# RUN
# LEFT
14312	91	634	115	663	0
14313	61	634	84	663	0
14314	32	634	53	663	0

# RIGHT
14322	331	634	355	663	0
14323	362	634	385	663	0
14324	393	634	414	663	0

# BRACE
# LEFT
14412	5	632	21	663	0
# RIGHT
14422	425	632	440	663	0

# SIT
# LEFT
14512	2	718	23	736	0
# RIGHT
14522	421	718	444	736	0

# FLY
# LEFT
14612	91	714	115	740	0
14613	61	714	85	742	0
# RIGHT
14622	331	714	355	740	0
14623	361	714	385	742	0

# JUMP
# LEFT
14712	182	714	203	742	0
14713	152	714	174	742	0
14714	122	714	143	742	0
# RIGHT
14722	243	714	264	742	0
14723	272	714	294	742	0
14724	303	714	324	742	0

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

# FLY
# IDLE
# LEFT
1701	14112	100
# RIGHT
1700	14122	100

# WALK RIGHT
1800	14122	100	14222	100	14223	100

# WALK LEFT
1801	14112	100	14212	100	14213	100

# RUN RIGHT
1900	14322	100	14323	100	14324	100

# RUN LEFT
1901	14312	100	14313	100	14314	100

# BRACE RIGHT & LEFT
2000	14422	100
2001	14412	100

# SIT RIGHT
2100	14522	100
# SIT LEFT
2101	14512	100

# FLY RIGHT
2200	14622	100	14623	100
# FLY LEFT
2201	14612	100	14612	100

# JUMP RIGHT
2300	14722	100	14723	100	14724	100

# JUMP LEFT
2301	14712	100	14713	100	14714	100
